id,dane_code,year_of_incident,amount,source_id
1,63001,2024,1,26
2,08606,2024,1,26
3,13468,2024,1,26
4,47001,2024,1,26
5,13647,2024,1,26
6,47189,2024,1,26
7,08685,2024,1,26
8,47001,2024,1,26
9,41132,2024,1,26
10,47001,2024,1,26
11,47001,2024,1,26
12,47001,2024,1,26
13,25843,2024,1,26
14,47001,2024,1,26
15,47001,2024,1,26
16,47001,2024,1,26
17,08001,2024,1,26
18,50001,2024,1,26
19,11001,2024,1,26
20,08001,2024,1,26
21,47001,2024,1,26
22,08573,2024,1,26
23,08573,2024,1,26
24,76001,2024,1,26
25,08001,2024,1,26
26,11001,2024,1,26
27,47189,2024,1,26
28,11001,2024,1,26
29,50318,2024,1,26
30,08001,2024,1,26
31,63001,2024,1,26
32,76147,2024,1,26
33,11001,2024,1,26
34,11001,2024,1,26
35,08001,2023,1,26
36,11001,2023,1,26
37,25286,2023,1,26
38,11001,2023,1,26
39,76520,2023,1,26
40,08001,2023,1,26
41,76001,2023,1,26
42,08001,2023,1,26
43,11001,2023,1,26
44,44001,2023,1,26
45,08758,2023,1,26
46,41001,2023,1,26
47,85263,2023,1,26
48,73268,2023,1,26
49,25126,2023,1,26
50,25754,2023,1,26
51,25286,2023,1,26
52,23001,2023,1,26
53,76001,2023,1,26
54,05266,2023,1,26
55,11001,2023,1,26
56,54128,2023,1,26
57,25245,2023,1,26
58,63130,2023,1,26
59,08001,2023,1,26
60,47001,2023,1,26
61,05001,2023,1,26
62,08001,2023,1,26
63,11001,2023,1,26
64,08758,2023,1,26
65,08758,2023,1,26
66,66001,2023,1,26
67,08001,2023,1,26
68,11001,2023,1,26
69,08573,2023,1,26
70,76001,2023,1,26
71,08001,2023,1,26
72,11001,2023,1,26
73,08001,2023,1,26
74,18001,2023,1,26
75,50001,2023,1,26
76,08001,2023,1,26
77,11001,2023,1,26
78,05001,2023,1,26
79,11001,2023,1,26
80,08758,2023,1,26
81,11001,2023,1,26
82,08001,2023,1,26
83,68077,2023,1,26
84,08573,2023,1,26
85,73217,2023,1,26
86,18001,2023,1,26
87,25815,2023,1,26
88,08758,2023,1,26
89,70820,2023,1,26
90,08001,2023,1,26
91,25799,2023,1,26
92,25307,2023,1,26
93,76130,2023,1,26
94,86568,2023,1,26
95,25290,2023,1,26
96,08137,2023,1,26
97,66001,2023,1,26
98,70215,2023,1,26
99,08758,2023,1,26
100,11001,2023,1,26
101,47001,2023,1,26
102,11001,2023,1,26
103,76001,2023,1,26
104,08001,2023,1,26
105,19513,2023,1,26
106,08001,2023,1,26
107,11001,2023,1,26
108,20238,2023,1,26
109,25817,2023,1,26
110,44001,2023,1,26
111,44001,2023,1,26
112,08001,2023,1,26
113,20614,2023,1,26
114,11001,2023,1,26
115,05001,2023,1,26
116,08001,2023,1,26
117,70742,2023,1,26
118,76001,2023,1,26
119,54800,2023,1,26
120,05001,2023,1,26
121,11001,2023,1,26
122,11001,2023,1,26
123,47001,2023,1,26
124,08078,2023,1,26
125,05001,2023,1,26
126,68575,2023,1,26
127,05001,2023,1,26
128,11001,2023,1,26
129,52786,2023,1,26
130,05001,2023,1,26
131,47555,2023,1,26
132,47980,2023,1,26
133,20013,2023,1,26
134,25754,2023,1,26
135,13468,2023,1,26
136,08001,2023,1,26
137,20550,2023,1,26
138,11001,2022,1,26
139,05001,2022,1,26
140,15572,2022,1,26
141,44001,2022,1,26
142,70678,2022,1,26
143,47001,2022,1,26
144,08758,2022,1,26
145,05579,2022,1,26
146,11001,2022,1,26
147,13001,2022,1,26
148,54206,2022,1,26
149,18001,2022,1,26
150,47001,2022,1,26
151,68575,2022,1,26
152,08433,2022,1,26
153,47189,2022,1,26
154,08758,2022,1,26
155,11001,2022,1,26
156,11001,2022,1,26
157,08001,2022,1,26
158,13052,2022,1,26
159,20001,2022,1,26
160,15572,2022,1,26
161,20710,2022,1,26
162,08436,2022,1,26
163,05579,2022,1,26
164,13657,2022,1,26
165,76001,2022,1,26
166,05615,2022,1,26
167,08001,2022,1,26
168,11001,2022,1,26
169,08001,2022,1,26
170,08421,2022,1,26
171,20011,2022,1,26
172,18150,2022,1,26
173,50006,2022,1,26
174,11001,2022,1,26
175,11001,2022,1,26
176,47001,2022,1,26
177,08001,2022,1,26
178,08001,2022,1,26
179,13244,2022,1,26
180,11001,2022,1,26
181,47001,2022,1,26
182,20045,2022,1,26
183,11001,2022,1,26
184,68655,2022,1,26
185,11001,2022,1,26
186,05893,2022,1,26
187,25214,2022,1,26
188,76001,2022,1,26
189,08001,2022,1,26
190,23162,2022,1,26
191,11001,2022,1,26
192,70001,2022,1,26
193,08001,2022,1,26
194,08001,2022,1,26
195,47288,2022,1,26
196,47001,2022,1,26
197,47245,2022,1,26
198,08001,2022,1,26
199,08001,2022,1,26
200,05001,2022,1,26
201,20060,2022,1,26
202,47001,2022,1,26
203,20517,2022,1,26
204,23417,2022,1,26
205,08001,2022,1,26
206,08001,2022,1,26
207,20060,2022,1,26
208,11001,2022,1,26
209,11001,2022,1,26
210,11001,2022,1,26
211,08001,2022,1,26
212,11001,2022,1,26
213,11001,2022,1,26
214,47001,2022,1,26
215,13836,2022,1,26
216,08001,2022,1,26
217,11001,2022,1,26
218,44279,2022,1,26
219,68655,2022,1,26
220,11001,2022,1,26
221,08001,2022,1,26
222,11001,2022,1,26
223,47001,2022,1,26
224,08001,2022,1,26
225,76001,2022,1,26
226,11001,2022,1,26
227,44078,2022,1,26
228,44078,2022,1,26
229,13468,2022,1,26
230,08001,2022,1,26
231,08001,2022,1,26
232,08001,2022,1,26
233,05310,2022,1,26
234,47555,2022,1,26
235,47001,2022,1,26
236,08001,2022,1,26
237,13836,2022,1,26
238,11001,2022,1,26
239,41660,2022,1,26
240,47001,2022,1,26
241,54001,2022,1,26
242,47189,2022,1,26
243,70418,2022,1,26
244,70678,2022,1,26
245,05001,2022,1,26
246,11001,2022,1,26
247,76001,2022,1,26
248,47189,2022,1,26
249,08001,2022,1,26
250,47692,2022,1,26
251,17380,2022,1,26
252,11001,2022,1,26
253,08001,2022,1,26
254,63001,2022,1,26
255,73001,2022,1,26
256,41770,2022,1,26
257,08758,2022,1,26
258,25754,2022,1,26
259,11001,2022,1,26
260,11001,2022,1,26
261,47980,2022,1,26
262,76001,2022,1,26
263,47001,2022,1,26
264,76001,2022,1,26
265,08001,2022,1,26
266,05376,2022,1,26
267,05088,2022,1,26
268,11001,2022,1,26
269,76001,2022,1,26
270,11001,2022,1,26
271,08001,2022,1,26
272,08001,2022,1,26
273,08001,2022,1,26
274,13468,2022,1,26
275,20770,2022,1,26
276,08758,2021,1,26
277,11001,2021,1,26
278,11001,2021,2,26
279,11001,2021,1,26
280,11001,2021,2,26
281,08001,2021,1,26
282,11001,2021,1,26
283,25269,2021,1,26
284,41001,2021,1,26
285,76520,2021,1,26
286,20517,2021,1,26
287,52256,2021,1,26
288,11001,2021,1,26
289,08001,2021,1,26
290,08001,2021,1,26
291,25175,2021,1,26
292,05212,2021,1,26
293,08001,2021,1,26
294,41001,2021,1,26
295,47318,2021,1,26
296,08001,2021,1,26
297,54405,2021,1,26
298,08001,2021,1,26
299,11001,2021,1,26
300,25386,2021,1,26
301,76001,2021,1,26
302,44874,2021,1,26
303,08001,2021,1,26
304,20001,2021,1,26
305,47245,2021,1,26
306,11001,2021,1,26
307,44078,2021,1,26
308,47707,2021,1,26
309,68575,2021,1,26
310,94001,2021,1,26
311,11001,2021,1,26
312,05088,2021,1,26
313,20750,2021,1,26
314,08573,2021,1,26
315,47189,2021,1,26
316,08001,2021,1,26
317,44855,2021,1,26
318,47001,2021,1,26
319,08001,2021,1,26
320,44001,2021,1,26
321,76001,2021,1,26
322,08758,2021,1,26
323,11001,2021,1,26
324,70400,2021,1,26
325,05088,2021,1,26
326,08001,2021,1,26
327,11001,2021,1,26
328,11001,2021,1,26
329,11001,2021,1,26
330,11001,2021,1,26
331,20443,2021,1,26
332,11001,2021,1,26
333,11001,2021,1,26
334,11001,2021,1,26
335,47001,2021,1,26
336,11001,2021,1,26
337,11001,2021,1,26
338,76001,2021,1,26
339,54001,2021,1,26
340,11001,2021,1,26
341,76001,2021,1,26
342,11001,2021,1,26
343,47001,2021,1,26
344,76001,2021,1,26
345,76001,2021,1,26
346,76001,2021,1,26
347,70678,2021,1,26
348,76001,2021,1,26
349,11001,2021,1,26
350,76001,2021,1,26
351,76001,2021,1,26
352,76001,2021,1,26
353,76001,2021,1,26
354,18150,2021,1,26
355,11001,2021,1,26
356,73268,2021,1,26
357,47980,2021,1,26
358,08001,2021,1,26
359,05480,2021,1,26
360,11001,2021,1,26
361,70742,2021,1,26
362,76001,2021,1,26
363,47001,2021,1,26
364,11001,2021,1,26
365,11001,2021,1,26
366,11001,2021,1,26
367,11001,2021,1,26
368,11001,2021,1,26
369,17380,2021,1,26
370,76001,2021,1,26
371,63001,2021,1,26
372,11001,2021,1,26
373,11001,2021,1,26
374,11001,2021,1,26
375,11001,2021,2,26
376,63001,2021,1,26
377,20001,2021,1,26
378,76001,2021,1,26
379,11001,2021,1,26
380,11001,2021,1,26
381,25297,2021,1,26
382,05001,2021,1,26
383,11001,2021,1,26
384,15516,2021,1,26
385,11001,2020,1,26
386,11001,2020,1,26
387,76001,2020,1,26
388,05001,2020,1,26
389,68077,2020,1,26
390,11001,2020,1,26
391,11001,2020,1,26
392,76001,2020,1,26
393,11001,2020,1,26
394,15469,2020,1,26
395,70771,2020,1,26
396,11001,2020,1,26
397,11001,2020,1,26
398,52001,2020,1,26
399,05631,2020,1,26
400,11001,2020,1,26
401,05001,2020,1,26
402,05001,2020,1,26
403,11001,2020,1,26
404,88564,2020,1,26
405,11001,2020,1,26
406,11001,2020,1,26
407,68077,2020,1,26
408,76001,2020,1,26
409,11001,2020,1,26
410,08372,2020,1,26
411,11001,2020,1,26
412,11001,2020,1,26
413,52001,2020,1,26
414,68547,2020,1,26
415,05380,2020,1,26
416,11001,2020,1,26
417,05001,2020,1,26
418,11001,2020,1,26
419,11001,2020,1,26
420,66170,2020,1,26
421,11001,2020,1,26
422,13001,2020,1,26
423,63001,2020,1,26
424,11001,2020,1,26
425,76001,2020,1,26
426,76001,2020,1,26
427,76001,2020,1,26
428,76001,2020,1,26
429,11001,2020,1,26
430,11001,2020,1,26
431,11001,2020,1,26
432,08141,2020,1,26
433,05001,2020,1,26
434,73671,2020,1,26
435,41551,2020,1,26
436,76364,2020,1,26
437,13836,2020,1,26
438,08001,2020,1,26
439,11001,2020,1,26
440,11001,2020,1,26
441,05234,2020,1,26
442,11001,2020,1,26
443,11001,2020,1,26
444,11001,2020,1,26
445,11001,2020,1,26
446,11001,2020,1,26
447,11001,2020,1,26
448,66170,2020,1,26
449,11001,2020,1,26
450,05310,2020,1,26
451,66170,2020,1,26
452,70215,2020,1,26
453,11001,2020,1,26
454,05001,2020,1,26
455,11001,2020,1,26
456,11001,2020,1,26
457,11001,2020,1,26
458,76001,2020,1,26
459,05101,2020,1,26
460,11001,2020,1,26
461,70473,2020,1,26
462,76001,2020,1,26
463,25797,2020,1,26
464,66001,2020,1,26
465,11001,2020,1,26
466,11001,2020,1,26
467,11001,2020,1,26
468,11001,2020,1,26
469,08001,2020,1,26
470,54001,2020,1,26
471,76001,2020,1,26
472,76001,2020,1,26
473,11001,2020,1,26
474,76001,2020,1,26
475,52019,2020,1,26
476,05315,2020,1,26
477,13430,2020,1,26
478,11001,2020,1,26
479,11001,2020,1,26
480,76001,2020,1,26
481,11001,2020,1,26
482,11001,2019,1,26
483,11001,2019,1,26
484,11001,2019,1,26
485,11001,2019,1,26
486,76001,2019,1,26
487,19137,2019,1,26
488,19137,2019,1,26
489,11001,2019,1,26
490,11001,2019,1,26
491,11001,2019,1,26
492,11001,2019,1,26
493,11001,2019,1,26
494,47555,2019,1,26
495,11001,2019,1,26
496,52835,2019,1,26
497,11001,2019,1,26
498,11001,2019,1,26
499,76001,2019,1,26
500,19001,2019,1,26
501,70221,2019,1,26
502,76001,2019,1,26
503,76001,2019,1,26
504,47189,2019,1,26
505,44035,2019,1,26
506,05001,2019,1,26
507,11001,2019,1,26
508,76001,2019,1,26
509,44035,2019,1,26
510,70001,2019,1,26
511,05631,2019,1,26
512,11001,2019,1,26
513,52835,2019,1,26
514,76892,2019,1,26
515,76001,2019,1,26
516,08001,2019,1,26
517,11001,2019,1,26
518,05001,2019,1,26
519,23660,2019,1,26
520,11001,2019,1,26
521,76001,2019,1,26
522,05480,2019,1,26
523,05001,2019,1,26
524,19142,2019,1,26
525,11001,2019,1,26
526,11001,2019,1,26
527,08001,2019,1,26
528,08758,2019,1,26
529,11001,2019,1,26
530,08001,2019,1,26
531,08001,2019,1,26
532,68001,2019,1,26
533,70001,2019,1,26
534,76001,2019,1,26
535,11001,2019,1,26
536,76001,2019,1,26
537,08001,2019,1,26
538,11001,2019,1,26
539,44279,2019,1,26
540,47001,2019,1,26
541,13657,2019,1,26
542,25269,2019,1,26
543,76001,2019,1,26
544,08758,2019,1,26
545,44035,2019,1,26
546,11001,2019,1,26
547,11001,2019,1,26
548,41551,2019,1,26
549,76001,2019,1,26
550,88001,2019,1,26
551,70742,2019,1,26
552,11001,2019,1,26
553,08141,2019,1,26
554,73001,2019,1,26
555,11001,2019,1,26
556,08001,2019,1,26
557,11001,2019,1,26
558,15001,2019,1,26
559,11001,2019,1,26
560,11001,2019,1,26
561,11001,2019,1,26
562,70001,2019,1,26
563,76001,2019,1,26
564,11001,2019,1,26
565,76001,2019,1,26
566,05266,2019,1,26
567,11001,2019,1,26
568,11001,2019,1,26
569,11001,2019,1,26
570,76001,2019,1,26
571,76001,2019,1,26
572,11001,2019,1,26
573,11001,2019,1,26
574,11001,2019,1,26
575,11001,2019,1,26
576,13001,2019,1,26
577,11001,2019,1,26
578,25290,2019,1,26
579,50370,2019,1,26
580,11001,2019,1,26
581,11001,2019,1,26
582,11001,2019,1,26
583,05001,2019,1,26
584,66170,2019,1,26
585,70001,2019,1,26
586,27001,2019,1,26
587,52835,2019,1,26
588,08436,2019,1,26
589,23162,2019,1,26
590,76364,2019,1,26
591,11001,2019,1,26
592,11001,2019,1,26
593,68081,2019,1,26
594,08001,2019,1,26
595,11001,2019,1,26
596,41001,2019,1,26
597,11001,2019,1,26
598,70508,2019,1,26
599,20443,2019,1,26
600,76001,2019,1,26
601,13001,2019,1,26
602,05001,2019,1,26
603,25785,2019,1,26
604,11001,2019,1,26
605,05001,2019,1,26
606,76001,2019,1,26
607,11001,2019,1,26
608,11001,2019,1,26
609,11001,2019,1,26
610,17001,2019,1,26
611,76130,2019,1,26
612,23001,2019,1,26
613,11001,2019,1,26
614,11001,2019,1,26
615,11001,2019,1,26
616,11001,2019,1,26
617,11001,2019,1,26
618,25297,2019,1,26
619,05642,2019,1,26
620,05001,2019,1,26
621,76001,2019,1,26
622,11001,2019,1,26
623,05308,2018,1,26
624,13001,2018,1,26
625,76001,2018,1,26
626,76001,2018,1,26
627,13001,2018,1,26
628,76001,2018,1,26
629,05579,2018,1,26
630,11001,2018,1,26
631,41001,2018,1,26
632,25386,2018,1,26
633,41001,2018,1,26
634,11001,2018,1,26
635,95001,2018,1,26
636,05001,2018,1,26
637,41001,2018,1,26
638,13001,2018,1,26
639,11001,2018,1,26
640,11001,2018,1,26
641,76001,2018,1,26
642,54001,2018,1,26
643,11001,2018,1,26
644,70670,2018,1,26
645,41359,2018,1,26
646,08758,2018,1,26
647,11001,2018,1,26
648,52356,2018,1,26
649,44650,2018,1,26
650,23464,2018,1,26
651,54001,2018,1,26
652,05001,2018,1,26
653,50001,2018,1,26
654,05266,2018,1,26
655,11001,2018,1,26
656,11001,2018,1,26
657,05001,2018,1,26
658,08001,2018,1,26
659,08141,2018,1,26
660,11001,2018,1,26
661,08001,2018,1,26
662,08001,2018,1,26
663,05001,2018,1,26
664,20621,2018,1,26
665,11001,2018,1,26
666,11001,2018,1,26
667,08001,2018,1,26
668,08001,2018,1,26
669,05001,2018,1,26
670,76001,2018,1,26
671,54001,2018,1,26
672,25817,2018,1,26
673,08001,2018,1,26
674,11001,2018,1,26
675,23162,2018,1,26
676,11001,2018,1,26
677,20011,2018,1,26
678,23001,2018,1,26
679,05001,2018,1,26
680,11001,2018,1,26
681,41001,2018,1,26
682,76001,2018,1,26
683,11001,2018,1,26
684,47745,2018,1,26
685,70742,2018,1,26
686,70001,2018,1,26
687,05001,2018,1,26
688,11001,2018,1,26
689,23555,2018,1,26
690,08758,2018,1,26
691,11001,2018,1,26
692,11001,2018,1,26
693,73001,2018,1,26
694,70418,2018,1,26
695,27361,2018,1,26
696,05001,2018,1,26
697,08001,2018,1,26
698,11001,2018,1,26
699,08001,2018,1,26
700,66682,2018,1,26
701,05001,2018,1,26
702,08758,2018,1,26
703,05001,2018,1,26
704,08001,2018,1,26
705,05001,2018,1,26
706,11001,2018,1,26
707,50001,2018,1,26
708,05101,2018,1,26
709,11001,2018,1,26
710,66088,2018,1,26
711,11001,2018,1,26
712,13001,2018,1,26
713,41001,2018,1,26
714,05656,2018,1,26
715,11001,2018,1,26
716,11001,2018,1,26
717,23419,2018,1,26
718,05321,2018,1,26
719,86568,2018,1,26
720,05266,2018,1,26
721,11001,2018,1,26
722,11001,2018,1,26
723,54800,2018,1,26
724,11001,2018,1,26
725,13670,2018,1,26
726,11001,2018,1,26
727,08001,2018,1,26
728,23555,2018,1,26
729,11001,2018,1,26
730,76001,2018,1,26
731,11001,2018,1,26
732,11001,2018,1,26
733,54001,2018,1,26
734,20001,2018,1,26
735,76001,2018,1,26
736,05001,2018,1,26
737,23417,2018,1,26
738,05001,2018,1,26
739,08001,2018,1,26
740,25754,2018,1,26
741,66001,2018,1,26
742,08001,2018,1,26
743,25612,2018,1,26
744,05001,2018,1,26
745,11001,2018,1,26
746,11001,2018,1,26
747,76147,2018,1,26
748,25175,2018,1,26
749,15001,2018,1,26
750,11001,2018,1,26
751,23672,2018,1,26
752,76001,2018,1,26
753,68575,2018,1,26
754,05088,2018,1,26
755,68081,2018,1,26
756,05001,2018,1,26
757,11001,2018,1,26
758,68307,2018,1,26
759,08001,2018,1,26
760,11001,2018,1,26
761,05001,2018,1,26
762,11001,2018,1,26
763,68276,2018,1,26
764,68081,2018,1,26
765,76001,2018,1,26
766,68081,2018,1,26
767,76001,2018,1,26
768,05001,2018,1,26
769,05001,2018,1,26
770,63001,2018,1,26
771,08001,2018,1,26
772,25307,2018,1,26
773,11001,2018,1,26
774,54206,2018,1,26
775,11001,2018,1,26
776,05360,2018,1,26
777,19001,2018,1,26
778,08001,2018,1,26
779,11001,2018,1,26
780,44078,2018,1,26
781,66001,2018,1,26
782,11001,2018,1,26
783,11001,2018,1,26
784,05001,2018,1,26
785,11001,2018,1,26
786,05001,2018,1,26
787,11001,2018,1,26
788,11001,2018,1,26
789,11001,2018,1,26
790,23001,2018,1,26
791,76001,2018,1,26
792,41001,2018,1,26
793,11001,2018,1,26
794,54001,2018,1,26
795,70418,2018,1,26
796,11001,2018,1,26
797,05148,2018,1,26
798,11001,2018,1,26
799,25175,2018,1,26
800,05380,2018,1,26
801,68081,2018,1,26
802,05001,2018,1,26
803,11001,2018,1,26
804,73443,2018,1,26
805,05001,2018,1,26
806,08634,2018,1,26
807,23686,2018,1,26
808,11001,2018,1,26
809,25307,2018,1,26
810,11001,2018,1,26
811,25754,2018,1,26
812,11001,2018,1,26
813,11001,2018,1,26
814,11001,2018,1,26
815,05001,2017,1,26
816,20621,2017,1,26
817,76001,2017,1,26
818,13001,2017,1,26
819,11001,2017,1,26
820,11001,2017,1,26
821,11001,2017,1,26
822,11001,2017,1,26
823,11001,2017,1,26
824,11001,2017,1,26
825,54001,2017,1,26
826,08001,2017,1,26
827,19698,2017,1,26
828,11001,2017,1,26
829,11001,2017,1,26
830,11001,2017,1,26
831,73349,2017,1,26
832,05001,2017,1,26
833,13001,2017,1,26
834,13001,2017,1,26
835,11001,2017,1,26
836,54239,2017,1,26
837,20001,2017,1,26
838,47001,2017,1,26
839,08573,2017,1,26
840,11001,2017,1,26
